ds,yhat,yhat_lower,yhat_upper
2010-11-19,51256153.94473082,46820982.37980396,55761606.51225229
2010-11-26,52811408.98372401,48293005.456962734,57169622.7820319
2010-12-03,55642184.63510619,51339619.379688345,60016207.1885054
2010-12-10,60183274.16791084,55759949.658724554,64421673.5858902
2010-12-17,63652767.071811005,59095211.20225365,68286766.40671936
2010-12-24,62015760.904596955,57264014.37785095,66464898.25813999
2010-12-31,54223958.00050839,49724961.91644726,58466530.39230088
2011-01-07,44164043.16363876,39819086.48187666,48635492.76362988
2011-01-14,37790220.07255745,33316853.27329532,42300108.73018042
2011-01-21,38079543.91430453,33617555.132277496,42614647.20948007
2011-01-28,42837099.41097706,38234432.856539026,47356353.35369822
2011-02-04,47311427.51351759,42555834.04375362,51714972.67969596
2011-02-11,48609535.90529371,44062167.63694025,53029932.18464264
2011-02-18,47430291.40135024,43211864.14957998,51705437.305418886
2011-02-25,46079728.9930881,41816462.75368942,50470048.89092787
2011-03-04,45678715.57360637,41026363.76808301,49925748.25648948
2011-03-11,45661997.0396269,41378553.02187506,50259135.702749856
2011-03-18,45363376.03014699,41066067.61924186,49797409.39836171
2011-03-25,45151709.2958297,40561601.24906158,49773178.283171095
2011-04-01,45705295.06867182,41128013.02759055,50276476.92318354
2011-04-08,46719247.962312825,42055682.66292235,50945541.72730585
2011-04-15,47036899.240931556,42598618.35732547,51732173.35358709
2011-04-22,46105824.63446803,41777305.906855896,50546121.45404648
2011-04-29,44819190.06985124,40433819.48166811,49598750.57156899
2011-05-06,44565858.32445817,40564481.662706636,48797883.687953405
2011-05-13,45645044.91858129,41491617.30008558,50354388.49866235
2011-05-20,47008660.76982905,42824355.809069686,51517826.649732895
2011-05-27,47578636.88728079,43094647.66246715,51988747.540864326
2011-06-03,47428783.87878415,42837879.3355335,51998241.23492056
2011-06-10,47415763.326791815,42783942.376763135,51942204.55648307
2011-06-17,47898815.02672569,43224664.56847014,52187346.79007787
2011-06-24,48272642.89177231,43668765.33292025,52854415.93463814
2011-07-01,47843273.98381775,43469330.19348466,52237348.335553825
2011-07-08,46788417.33040937,42435603.88133343,51159591.97552017
2011-07-15,45933562.097021714,41581000.67659105,50296724.208719864
2011-07-22,45737565.33205402,41398835.95528488,50148177.457039654
2011-07-29,45899973.504677676,41497555.80516809,50761448.686518654
2011-08-05,46031351.45698065,41569676.96152314,50623655.84959326
2011-08-12,46289704.028363764,41653457.17691354,51022468.03204678
2011-08-19,46969950.36552154,42424881.06000877,51439986.481222406
2011-08-26,47643768.78404406,43188583.95435646,52205135.83534035
2011-09-02,47282566.85076334,42862235.44303012,52055881.64822079
2011-09-09,45525916.017424114,40903834.364507824,49622796.770459004
2011-09-16,43498177.78245088,39112960.01129004,48039615.98164255
2011-09-23,42845553.61678484,38543908.80483549,47475334.237118796
2011-09-30,43899442.9436796,39542093.07994502,48462919.08580019
2011-10-07,45226061.51516276,40774282.75735304,50139448.68133985
2011-10-14,45311002.13108218,40646221.64822944,49787554.87922017
2011-10-21,44436874.660545416,40180203.25768976,48675451.43709435
2011-10-28,44395852.249137335,40016702.00230444,49240282.12800202
2011-11-04,46300209.360396035,41748836.29419984,50953810.160534486
2011-11-11,49227986.07815212,44750080.18836757,53548044.96906474
2011-11-18,51506752.28394133,46749619.54247047,55892187.87990693
2011-11-25,53046562.357421994,48431412.84237095,57555283.47213397
2011-12-02,55547506.20871244,51010656.967774786,59970380.859339304
2011-12-09,59906854.74688035,55034922.94857026,64210275.514246665
2011-12-16,63892030.31937437,59534019.69911475,68224584.24976426
2011-12-23,63389575.0300417,58907041.92454172,67686762.90224908
2011-12-30,56551241.813025616,52301341.407277144,60855164.194280945
2012-01-06,46459876.84949946,41825347.551609635,50883920.25531408
2012-01-13,39075000.594174586,34710967.86022294,43675066.6008961
2012-01-20,38204563.446832746,33711856.41956807,42605765.76751165
2012-01-27,42506143.50220806,37998005.99423516,46892914.78529272
2012-02-03,47349076.42053291,42535292.30561609,51911630.78557232
2012-02-10,49262703.24799471,44982775.83622927,53780235.85872323
2012-02-17,48365631.8269698,43849923.712482,52594017.93129618
2012-02-24,46908318.924042046,42586025.1123084,51561224.19310271
2012-03-02,46347773.966449745,42046787.38314152,50857445.71499289
2012-03-09,46335562.07394617,41797455.81801461,50563164.09460778
2012-03-16,46093098.59168574,41635095.62691931,50622185.829872616
2012-03-23,45807501.48804229,41352055.445105575,50251743.608364664
2012-03-30,46209467.69061847,41748365.807101324,50684254.69727781
2012-04-06,47217472.13004118,42716471.84745578,51943991.48643286
2012-04-13,47738065.36684428,43580557.244835496,52382378.1539163
2012-04-20,47003842.11847839,42554127.33813453,51208095.262720436
2012-04-27,45670246.89611575,41121647.3692947,50140298.47048903
2012-05-04,45164555.648426,40843491.537178315,49249184.28557877
2012-05-11,46055544.848140664,41521689.36872971,50260284.066349566
2012-05-18,47468949.23771348,42598156.77474557,51637756.22572545
2012-05-25,48213775.50528458,43677466.002596326,52536875.829982005
2012-06-01,48135949.85329939,43676442.86785119,52471650.18290212
2012-06-08,48043026.89500809,43727989.71443983,52345937.64668453
2012-06-15,48459717.57045343,44009000.9794944,53000095.529767364
2012-06-22,48918368.60730494,44624295.33072636,53484669.94080191
2012-06-29,48649667.50204055,43952566.701415926,52970680.55804603
2012-07-06,47652123.9769629,43113194.641039185,52339665.15856361
2012-07-13,46705221.60330863,42212837.868957005,51301563.58826702
2012-07-20,46396034.68354582,41919222.02532119,50676837.851032786
2012-07-27,46533157.198810235,42012676.80341625,51074682.868271574
2012-08-03,46675500.1698421,41959205.694650754,51132477.431179665
2012-08-10,46880702.95828693,42249822.63177535,51051966.199075505
2012-08-17,47489110.94699636,42876573.69105969,51965134.127283394
2012-08-24,48235128.50691415,43670357.9941221,52709628.48559388
2012-08-31,48123300.708572924,43720962.49850169,52716462.0396628
2012-09-07,46574417.73274483,41961772.180236876,51324146.88513125
2012-09-14,44464304.59059139,40132015.13341077,48951066.10467284
2012-09-21,43484598.58003268,39257091.48814807,48210362.70686502
2012-09-28,44300366.77150482,39925701.28071187,48761573.00842811
2012-10-05,45718572.29066103,41437730.707380496,49975359.18087619
2012-10-12,46068529.327419534,41439753.15491335,50152007.756019
2012-10-19,45254033.21282639,41035221.76488505,49789944.76674428
2012-10-26,44932165.82149453,40406955.34966174,49491387.016204566
2012-10-27,45029871.12464968,40664286.364716694,49629322.37083533
2012-10-28,45171285.79547015,40795354.67149946,49224727.72335861
2012-10-29,45356482.80202755,40670845.9246674,49456157.07809664
2012-10-30,45584459.67496554,41420050.39186081,50157762.314878285
2012-10-31,45853171.31608683,41634217.97946644,50128574.844031826
2012-11-01,46159594.24577819,41890403.42686225,50689436.0787381
2012-11-02,46499820.63809231,41926438.02793485,50891154.07621635
2012-11-03,46869179.5904572,42124540.32806202,51232370.37075054
2012-11-04,47262382.236993894,43014040.8886543,51829635.45800014
2012-11-05,47673686.56529144,43274358.73893905,52175646.23244889
2012-11-06,48097077.159134306,44019762.66909688,52414965.19361678
2012-11-07,48526454.58398934,44259836.08233236,52886800.10286911
2012-11-08,48955828.77424912,44488466.33648454,53463310.598917924
2012-11-09,49379510.58358931,44557775.94321928,53442133.71261397
2012-11-10,49792295.630052485,45354487.26862602,54440212.56723178
2012-11-11,50189634.70861071,45722415.87921181,54787162.71712101
2012-11-12,50567785.35409841,46519152.597303994,54853329.319042854
2012-11-13,50923939.60981739,46611026.68191952,55443402.57075726
2012-11-14,51256323.68032989,47242400.32554564,55644706.073657736
2012-11-15,51564265.90496001,47281999.61486115,55982089.253410615
2012-11-16,51848230.36143831,47337805.24696263,56540953.87865268
2012-11-17,52109814.37338589,47725581.194955274,56519189.04061
2012-11-18,52351709.224602036,47998911.01575024,56907609.63625344
2012-11-19,52577624.44882455,48210688.07971032,57166088.11100598
2012-11-20,52792177.135922976,48256808.03639667,57122483.006735355
2012-11-21,53000748.74387699,48664254.41224938,57616105.904298715
2012-11-22,53209312.900258064,48912106.13546064,57571322.6686962
2012-11-23,53424238.58837791,48831379.96415627,57705457.2495506
2012-11-24,53652073.91481048,49316291.83102333,57818229.58976429
2012-11-25,53899316.32252767,49516679.0704687,58484974.2032164
